date,activity_id,name,distance_km,elapsed_time_s,moving_time_s,avg_speed_m_s,elevation_gain_m,avg_cadence_spm,calories,training_load,intensity,pace_min_km,pace_sec_km,reference_pace_min_km,load_proxy,acute_load_7d,chronic_load_28d_avg_week,acwr,km_last_7d,km_last_28d,km_last_28d_avg_week,runs_last_28d,longest_run_last_28d,pace_trend_sec_per_week
2024-09-09 21:05:30,12369803889,Evening Run,6.42,3391,2699.0,2.381,7.0,76.0,449.0,,,7.006749740394601,420.404984423676,6.198070023874081,35.1990853836239,143.94649741814575,186.08223849435745,0.7735638746763605,24.43,117.95,29.4875,11.0,21.0,0.4733904640286844
2024-09-11 20:31:02,12387178328,Afternoon Run,8.28,3258,2916.0,2.84,4.0,77.0,567.0,,,5.869565217391305,352.1739130434783,6.157577869979866,53.48650614387732,197.43300356202306,167.09058924512712,1.1815925986853915,32.71,105.19,26.2975,10.0,21.0,0.39564245954234806
2024-09-18 11:01:03,12440805887,Morning Run,5.04,2315,2170.0,2.326,13.0,77.0,362.0,,,7.175925925925926,430.55555555555554,6.0919191919191915,26.065187728072512,79.55169387194984,125.13368748918934,0.6357336339091145,13.320000000000004,79.96000000000001,19.990000000000002,8.0,21.0,2.1669954721209796
2024-09-21 21:04:51,12471132238,Amo recife,20.84,7253,7253.0,2.874,76.0,80.0,1464.0,,,5.800543825975688,348.03262955854126,6.055678371807403,131.75120744526103,157.81639517333355,149.98631867432846,1.0522052715755152,25.880000000000003,95.14000000000001,23.785000000000004,8.0,21.0,1.5230528682654907
2024-09-29 09:11:46,12599378721,Morning Run,16.08,7749,6806.0,2.363,73.0,77.0,1075.0,,,7.054311774461029,423.25870646766174,6.143856143856144,86.04258926081683,86.04258926081683,122.2960274544694,0.7035599688047949,16.08,82.16,20.54,7.0,20.84,1.9851604602303485
2024-10-04 22:08:14,12575582326,Corrida ao entardecer,4.58,1634,1581.0,2.9,12.5,,407.0,,,5.753275109170306,345.1965065502183,6.013724116301747,28.78971315263547,114.8323024134523,90.33357227857176,1.271202937257159,20.659999999999997,61.239999999999995,15.309999999999999,6.0,20.84,1.5510044869352828
2024-10-07 17:45:34,12664331878,Afternoon Run,5.38,2237,1978.0,2.721,20.0,81.0,367.0,,,6.1276332094175965,367.6579925650558,6.013724116301747,31.752396990696305,60.542110143331776,98.27167152624584,0.6160687938147316,9.96,66.61999999999999,16.654999999999998,7.0,20.84,1.7005727480096136
2024-10-15 20:21:43,12664682819,Afternoon Run,10.03,3948,3824.0,2.623,15.0,79.0,751.0,,,6.354270521768029,381.25623130608176,6.157577869979866,59.84874643007636,59.84874643007636,91.06246025188963,0.6572274268071342,10.03,61.94999999999999,15.487499999999997,6.0,20.84,0.7058359639471181
2024-11-06 20:06:27,12897450834,Afternoon Run,8.03,3292,3054.0,2.63,15.0,81.0,599.0,,,6.338729763387298,380.3237858032379,6.171299596103587,48.246583971213006,48.246583971213006,27.023832600322343,1.7853346223968807,8.03,18.059999999999995,4.514999999999999,2.0,10.03,0.781096849516791
2024-12-05 08:14:40,13050674454,Morning Run,8.33,3515,3398.0,2.454,37.0,78.0,614.0,,,6.798719487795118,407.92316926770707,6.354270521768029,49.47083936751975,49.47083936751975,12.367709841879938,4.0,8.33,8.33,2.0825,1.0,8.33,0.6536882579002106
2024-12-25 19:40:25,13189567887,Afternoon Run,13.02,5770,4947.0,2.632,30.0,78.0,985.0,,,6.332565284178187,379.95391705069125,6.338729763387298,82.61060116973297,82.61060116973297,33.02036013431318,2.5018080006913066,13.02,21.35,5.3375,2.0,13.02,0.8347383287597584
2024-12-30 09:11:08,13221586282,Morning Run,6.79,2704,2704.0,2.511,16.0,79.0,495.0,,,6.637211585665194,398.23269513991164,6.338729763387298,41.1044257997146,123.71502696944756,43.29646658424183,2.8573931484393893,19.81,28.14,7.035,3.0,13.02,2.760764813433943
2025-01-30 08:29:54,13490667633,Morning Run,4.2,1981,1930.0,2.178,0.0,74.0,303.0,,,7.658730158730158,459.5238095238095,6.637211585665194,24.158159671838842,24.158159671838842,6.0395399179597105,4.0,4.2,4.2,1.05,1.0,4.2,5.446224975258087
2025-02-02 20:18:53,13523406745,Afternoon Run,6.43,2834,2816.0,2.287,18.0,77.0,471.0,,,7.299118714359771,437.9471228615863,6.717965536730157,39.75722731497961,63.91538698681845,15.978846746704612,4.0,10.629999999999999,10.629999999999999,2.6574999999999998,2.0,6.43,5.356249618694808
2025-02-03 23:06:06,13532697754,Evening Run,6.31,2704,2688.0,2.349,7.0,79.0,477.0,,,7.0998415213946116,425.9904912836767,6.798719487795118,41.080427081689876,104.99581406850834,26.248953517127084,4.0,16.939999999999998,16.939999999999998,4.234999999999999,3.0,6.43,4.894193298453584
2025-02-06 20:58:10,13559437820,Afternoon Run,6.81,2765,2748.0,2.478,7.0,79.0,515.0,,,6.725403817914831,403.5242290748899,6.798719487795118,46.80400222356644,127.64165662023592,37.949954073018695,3.3634205821341268,19.55,23.75,5.9375,4.0,6.81,4.3382461784046145
2025-02-07 20:40:45,13567140169,Afternoon Run,4.09,1981,1910.0,2.143,11.0,76.0,304.0,,,7.78321108394458,466.99266503667485,6.949280504594865,25.377228107233265,153.01888472746919,44.29426109982701,3.4545984271553136,23.64,27.84,6.96,5.0,6.81,5.567226781314167
2025-02-09 22:13:48,13586791828,Evening Run,8.3,3711,3609.0,2.3,19.0,78.0,615.0,,,7.246987951807228,434.8192771084337,7.0998415213946116,57.73216744698632,170.99382485947592,58.727302961573585,2.911658057434725,25.51,36.14,9.035,6.0,8.3,5.397315035632475
2025-02-10 21:44:12,13594289499,Evening Run,6.8,2848,2829.0,2.406,4.0,77.0,493.0,,,6.9338235294117645,416.0294117647059,7.0168325254031885,48.28567985164525,219.27950471112115,70.7987229244849,3.097224012712889,32.31,42.94,10.735,7.0,8.3,4.769602845350753
2025-02-12 08:14:21,13606268504,Morning Run,8.2,3074,3074.0,2.67,4.0,79.0,560.0,,,6.247967479674798,374.87804878048786,6.9338235294117645,63.09873617717972,241.29781380661098,86.57340696877984,2.7872047809511296,34.2,51.14,12.785,8.0,8.3,3.2539713573860474
2025-02-15 09:40:10,13632253888,Morning Run,14.13,6695,6121.0,2.309,53.0,78.0,1092.0,,,7.219863175277188,433.1917905166313,7.0168325254031885,96.35969502382126,265.4762784996326,110.66333072473515,2.3989543488437053,37.43,65.27,16.3175,9.0,14.13,3.3541512106819473
2025-02-17 21:05:41,13655094997,Evening Run,8.35,3287,3139.0,2.661,13.0,78.0,575.0,,,6.2654690618762485,375.92814371257487,6.9338235294117645,64.07350096050658,271.8176120131528,126.68170596486179,2.1456737572554316,37.480000000000004,73.62,18.405,10.0,14.13,2.129782259000876
2025-02-20 20:25:23,13681941812,Afternoon Run,8.94,3343,3166.0,2.824,11.0,79.0,616.0,,,5.902311707680836,354.13870246085014,6.866271508603441,71.40971871317072,231.84291469749857,144.53413564315446,1.6040703026024516,31.42,82.56,20.64,11.0,14.13,0.5945006717257973
2025-02-21 09:58:51,13685398263,Morning Run,5.68,2524,2489.0,2.285,10.0,78.0,402.0,,,7.303403755868545,438.2042253521127,6.9338235294117645,37.39113032151153,269.2340450190101,153.88191822353235,1.7496145624329602,37.1,88.24,22.06,12.0,14.13,1.0813131548346013
2025-02-23 11:17:37,13705009299,Morning Run,12.71,6190,5331.0,2.384,42.0,79.0,896.0,,,6.990558615263571,419.43351691581427,6.962191072337667,88.13036016926746,261.00471016445636,175.91450826584924,1.4837020137646368,35.68,100.95,25.2375,13.0,14.13,1.1201387392891127
2025-02-24 21:30:40,13730257984,Evening Run,6.56,3583,2752.0,2.386,40.0,78.0,461.0,,,6.991869918699187,419.51219512195127,6.990558615263571,45.84946397889794,242.7806731828477,187.37687426057371,1.2956810926690305,33.89,107.51,26.8775,14.0,14.13,1.1502413311981725
2025-02-26 08:19:24,13730257987,Morning Run,3.01,844,844.0,3.575,0.0,79.0,176.0,,,4.6733111849390925,280.39867109634554,6.962191072337667,31.22005551410629,274.00072869695396,195.18188813910027,1.4038225129868704,36.9,110.52,27.63,15.0,14.13,-1.2487349305377757
2025-02-28 18:56:29,13753477706,Afternoon Run,13.12,5946,4807.0,2.729,37.0,80.0,909.0,,,6.10645325203252,366.38719512195127,6.9338235294117645,103.29763229085607,268.49751195312774,214.9667562938546,1.249018762631827,35.400000000000006,119.44,29.86,15.0,14.13,-1.8629008702529926
2025-03-05 19:55:46,13801183179,Afternoon Run,10.06,3747,3664.0,2.746,17.0,78.0,704.0,,,6.070245195493705,364.21471172962225,6.9338235294117645,79.6777965828325,182.9754288736886,214.67679184039534,0.8523298084765698,23.18,116.76,29.19,14.0,14.13,-3.8122548704810293
2025-03-07 18:27:06,13816866867,Afternoon Run,7.52,3114,3020.0,2.493,31.0,79.0,562.0,,,6.6932624113475185,401.5957446808511,6.829613673663298,52.40494438857332,235.3803732622619,216.07702738164707,1.0893354842693213,30.700000000000003,117.47,29.3675,14.0,14.13,-3.489310813428651
